id,chapter,match_text,focus_text,gold_pinyin,recommended_pinyin,candidate_pinyin,status,risk_type,confidence,occurrence_count_in_chapter,context,primary_source_url,secondary_source_url,note
HNSW-G039,生气通天论篇第三,薄厥,薄,bo2 jue2,,,gold,medical_term,high_for_benchmark,1,阳气者，大怒则形气绝，而血菀于上，使人薄厥。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G040,生气通天论篇第三,偏沮,沮,pian1 ju3,,,gold,rare_or_classical,high_for_benchmark,1,有伤于筋，纵，其若不容，汗出偏沮，使人偏枯。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G041,生气通天论篇第三,痤痱,痤痱,cuo2 fei4,,,gold,medical_term,high_for_benchmark,1,汗出见湿，乃生痤痱。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,所对照底本作“痤疿”；当前测试文本作“痤痱”，两者在此测试均按 cuo2 fei4。
HNSW-G042,生气通天论篇第三,大丁,丁,da4 ding1,,,gold,classical_usage,high_for_benchmark,1,高梁之变，足生大丁，受如持虚。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G043,生气通天论篇第三,皶,皶,zha1,,,gold,rare_character,high_for_benchmark,1,劳汗当风，寒薄为皶，郁乃痤。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,https://dict.variants.moe.edu.tw/dictView.jsp?ID=64468,所对照底本常见“齇”；当前测试文本作“皶”，本测试按 zha1。
HNSW-G044,生气通天论篇第三,大偻,偻,da4 lou2,,,gold,medical_term,high_for_benchmark,1,开阖不得，寒气从之，乃生大偻。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G045,生气通天论篇第三,瘘,瘘,lou4,,,gold,medical_term,high_for_benchmark,1,陷脉为瘘，留连肉腠。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G046,生气通天论篇第三,肉腠,腠,rou4 cou4,,,gold,medical_term,high_for_benchmark,2,陷脉为瘘，留连肉腠。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G047,生气通天论篇第三,俞气,俞,shu4 qi4,,,gold,medical_polyphone,high_for_benchmark,1,俞气化薄，传为善畏，及为惊骇。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G048,生气通天论篇第三,痈肿,痈,yong1 zhong3,,,gold,medical_term,high_for_benchmark,1,营气不从，逆于肉理，乃生痈肿。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G049,生气通天论篇第三,魄汗,魄,po4 han4,,,gold,classical_usage,high_for_benchmark,1,魄汗未尽，形弱而气烁，穴俞以闭，发为风疟。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G050,生气通天论篇第三,穴俞,俞,xue2 shu4,,,gold,medical_polyphone,high_for_benchmark,1,魄汗未尽，形弱而气烁，穴俞以闭，发为风疟。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G051,生气通天论篇第三,风疟,疟,feng1 nve4,,,gold,medical_term,high_for_benchmark,1,魄汗未尽，形弱而气烁，穴俞以闭，发为风疟。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G052,生气通天论篇第三,苛毒,苛,ke1 du2,,,gold,classical_usage,high_for_benchmark,1,故风者，百病之始也，清静则肉腠闭拒，虽有大风苛毒，弗之能害，此因时之序也。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G053,生气通天论篇第三,畜积,畜,xu4 ji1,,,gold,polyphone,high_for_benchmark,1,故阳畜积病死，而阳气当隔，隔者当写，不亟正治，粗乃败之。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G054,生气通天论篇第三,当写,写,,dang1 xie4,dang1 xie3|dang1 xie4,review_required,tongjia,review,1,故阳畜积病死，而阳气当隔，隔者当写，不亟正治，粗乃败之。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,底本文字“写/寫”在该处明确作“泻/瀉”义。按本字还是按通假义朗读取决于项目政策；建议现代语义朗读采用 xie4，但暂不计硬分。
HNSW-G055,生气通天论篇第三,起亟,亟,qi3 qi4,,,gold,polyphone,high_for_benchmark,1,岐伯曰：阴者，藏精而起亟也；,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G056,生气通天论篇第三,肠澼,澼,chang2 pi4,,,gold,medical_term,high_for_benchmark,1,因而饱食，筋脉横解，肠澼为痔。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G057,生气通天论篇第三,强力,强,qiang3 li4,,,gold,polyphone,high_for_benchmark,1,因而强力，肾气乃伤，高骨乃坏。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G058,生气通天论篇第三,阴平阳秘,秘,yin1 ping2 yang2 mi4,,,gold,medical_term,high_for_benchmark,1,故阳强不能密，阴气乃绝，阴平阳秘，精神乃治，阴阳离决，精气乃绝。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G059,生气通天论篇第三,洞泄,洞泄,dong4 xie4,,,gold,medical_term,high_for_benchmark,1,是以春伤于风，邪气留连，乃为洞泄，夏伤于暑，秋为痎疟。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G060,生气通天论篇第三,欬,欬,kai4,,,gold,classical_pronunciation,high_for_benchmark,1,秋伤于湿，上逆而欬，发为痿厥。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G061,金匮真言论篇第四,俞在,俞,shu4 zai4,,,gold,medical_polyphone,high_for_benchmark,5,所谓四时之胜也，东风生于春，病在肝，俞在颈项；,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G062,金匮真言论篇第四,病在藏,藏,bing4 zai4 zang4,,,gold,medical_polyphone,high_for_benchmark,1,故春气者病在头，夏气者病在藏，秋气者病在肩背，冬气者病在四支。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G063,金匮真言论篇第四,鼽衄,鼽衄,qiu2 nv4,,,gold,medical_term,high_for_benchmark,2,故春善病鼽衄，仲夏善病胸胁，长夏善病洞泄寒中，秋善病风疟，冬善病痹厥。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,https://www.zdic.net/hans/%E9%BC%BD%E8%A1%84,
HNSW-G064,金匮真言论篇第四,痹厥,痹厥,bi4 jue2,,,gold,medical_term,high_for_benchmark,2,故春善病鼽衄，仲夏善病胸胁，长夏善病洞泄寒中，秋善病风疟，冬善病痹厥。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G065,金匮真言论篇第四,按𫏋,𫏋,an4 qiao1,,,gold,simplified_variant,high_for_benchmark,1,故冬不按𫏋，春不鼽衄；,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,https://www.zdic.net/hans/%F0%AB%8F%8B,“𫏋”同“蹻”；本篇“按蹻”语境读 qiao1。
HNSW-G066,金匮真言论篇第四,藏府,藏,zang4 fu3,,,gold,medical_polyphone,high_for_benchmark,1,言人身之藏府中阴阳。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G067,金匮真言论篇第四,鍼石,鍼,zhen1 shi2,,,gold,rare_or_classical,high_for_benchmark,1,皆视其所在，为施鍼石也。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G068,金匮真言论篇第四,雌雄相输应,应,ci2 xiong2 xiang1 shu1 ying4,,,gold,classical_usage,high_for_benchmark,1,此皆阴阳、表里、内外、雌雄相输应也，故以应天之阴阳也。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G069,金匮真言论篇第四,藏精,藏,cang2 jing1,,,gold,polyphone,high_for_benchmark,5,东方青色，入通于肝，开窍于目，藏精于肝，其病发惊骇，其味酸，其类草木，其畜鸡，其谷麦，其应四时，上为岁星，是以春气在头也，其音角，其数八，是以知病之在筋也，其臭臊。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G070,金匮真言论篇第四,其音角,角,qi2 yin1 jue2,,,gold,semantic_polyphone,high_for_benchmark,1,东方青色，入通于肝，开窍于目，藏精于肝，其病发惊骇，其味酸，其类草木，其畜鸡，其谷麦，其应四时，上为岁星，是以春气在头也，其音角，其数八，是以知病之在筋也，其臭臊。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G071,金匮真言论篇第四,其音征,征,qi2 yin1 zhi3,,,gold,simplified_variant,high_for_benchmark,1,南方赤色，入通于心，开窍于耳，藏精于心，故病在五藏，其味苦，其类火，其畜羊，其谷黍，其应四时，上为荧惑星，是以知病之在脉也，其音征，其数七，其臭焦。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,此处“征”为五音“徵”的简化/替代字形，语义为五音之一，读 zhi3。
HNSW-G072,金匮真言论篇第四,其畜,畜,qi2 chu4,,,gold,semantic_polyphone,high_for_benchmark,5,东方青色，入通于肝，开窍于目，藏精于肝，其病发惊骇，其味酸，其类草木，其畜鸡，其谷麦，其应四时，上为岁星，是以春气在头也，其音角，其数八，是以知病之在筋也，其臭臊。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G073,金匮真言论篇第四,稷,稷,ji4,,,gold,rare_or_classical,high_for_benchmark,1,中央黄色，入通于脾，开窍于口，藏精于脾，故病在舌本，其味甘，其类土，其畜牛，其谷稷，其应四时，上为镇星，是以知病之在肉也，其音宫，其数五，其臭香。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G074,金匮真言论篇第四,彘,彘,zhi4,,,gold,rare_character,high_for_benchmark,1,北方黑色，入通于肾，开窍于二阴，藏精于肾，故病在谿，其味咸，其类水，其畜彘，其谷豆，其应四时，上为辰星，是以知病之在骨也，其音羽，其数六，其臭腐。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G075,金匮真言论篇第四,谿,谿,xi1,,,gold,rare_character,high_for_benchmark,1,北方黑色，入通于肾，开窍于二阴，藏精于肾，故病在谿，其味咸，其类水，其畜彘，其谷豆，其应四时，上为辰星，是以知病之在骨也，其音羽，其数六，其臭腐。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G076,金匮真言论篇第四,荧惑星,荧惑星,ying2 huo4 xing1,,,gold,classical_term,high_for_benchmark,1,南方赤色，入通于心，开窍于耳，藏精于心，故病在五藏，其味苦，其类火，其畜羊，其谷黍，其应四时，上为荧惑星，是以知病之在脉也，其音征，其数七，其臭焦。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G077,金匮真言论篇第四,镇星,镇星,zhen4 xing1,,,gold,classical_term,high_for_benchmark,1,中央黄色，入通于脾，开窍于口，藏精于脾，故病在舌本，其味甘，其类土，其畜牛，其谷稷，其应四时，上为镇星，是以知病之在肉也，其音宫，其数五，其臭香。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
HNSW-G078,金匮真言论篇第四,辰星,辰星,chen2 xing1,,,gold,classical_term,high_for_benchmark,1,北方黑色，入通于肾，开窍于二阴，藏精于肾，故病在谿，其味咸，其类水，其畜彘，其谷豆，其应四时，上为辰星，是以知病之在骨也，其音羽，其数六，其臭腐。,https://classicstcm.com/classics/huangdi-neijing-suwen/true-words-in-the-golden-casket/,,
