id,chapter,match_text,focus_text,gold_pinyin,focus_pinyin,status,risk_type,confidence,occurrence_count_in_chapter,context,text_source_url,pronunciation_source_url,note
JGYL-G012,痉湿暍病脉证并治第二,柔痉,痉,rou2 jing4,jing4,gold,medical_term,high_for_engineering_benchmark,1,太阳病，发热汗出，而不恶寒，名曰柔痉。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,痉读 jing4。
JGYL-G013,痉湿暍病脉证并治第二,卒口噤,卒,cu4 kou3 jin4,cu4,gold,classical_usage,high_for_engineering_benchmark,1,病者身热足寒，颈项强急，恶寒，时头热，面赤，目赤，独头动摇，卒口噤，背反张者，痉病也。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,“卒”作突然义读 cu4；噤读 jin4。
JGYL-G014,痉湿暍病脉证并治第二,身体强，几几然,几几,,,review_required,textual_or_pronunciation_dispute,review,1,太阳病，其证备，身体强，几几然，脉反沉迟，此为痉，栝蒌桂枝汤主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,“几几”读法存在长期争议，不纳入硬判分。
JGYL-G015,痉湿暍病脉证并治第二,栝蒌桂枝汤,栝蒌,gua1 lou2 gui4 zhi1 tang1,gua1 lou2,gold,medical_term,high_for_engineering_benchmark,1,太阳病，其证备，身体强，几几然，脉反沉迟，此为痉，栝蒌桂枝汤主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://zdic.net/hans/%E6%A0%9D%E8%92%8C,栝蒌读 gua1 lou2。
JGYL-G016,痉湿暍病脉证并治第二,脚挛急,挛,jiao3 luan2 ji2,luan2,gold,medical_term,high_for_engineering_benchmark,1,痉为病，胸满口噤，卧不着席，脚挛急，必齘齿，可与大承气汤。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,挛读 luan2。
JGYL-G017,痉湿暍病脉证并治第二,齘齿,齘,xie4 chi3,xie4,gold,rare_character,high_for_engineering_benchmark,1,痉为病，胸满口噤，卧不着席，脚挛急，必齘齿，可与大承气汤。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://zdic.net/hans/%E9%BD%98%E9%BD%BF,齘齿读 xie4 chi3。
JGYL-G018,痉湿暍病脉证并治第二,湿痹,痹,shi1 bi4,bi4,gold,medical_term,high_for_engineering_benchmark,2,太阳病，关节疼痛而烦，脉沉而细者，此名湿痹。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,痹读 bi4。
JGYL-G019,痉湿暍病脉证并治第二,则哕,哕,ze2 yue3,yue3,gold,medical_term,high_for_engineering_benchmark,1,若下之早则哕，或胸满，小便不利，舌上如胎者，以丹田有热，胸上有寒，渴欲得饮而不能，则口燥烦也。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,哕作呕吐义读 yue3。
JGYL-G020,痉湿暍病脉证并治第二,太阳中暍,暍,tai4 yang2 zhong4 ye1,ye1,gold,rare_character,high_for_engineering_benchmark,1,太阳中暍，发热恶寒，身重而疼痛，其脉弦细芤迟，小便已，洒洒然毛耸，手足逆冷，小有劳身即热，口开，前板齿燥。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://zdic.net/hans/%E6%9A%8D,暍读 ye1；“中暍”中“中”读 zhong4。
JGYL-G021,痉湿暍病脉证并治第二,弦细芤迟,芤,xian2 xi4 kou1 chi2,kou1,gold,rare_character,high_for_engineering_benchmark,1,太阳中暍，发热恶寒，身重而疼痛，其脉弦细芤迟，小便已，洒洒然毛耸，手足逆冷，小有劳身即热，口开，前板齿燥。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://zdic.net/hant/%E8%8A%A4,芤读 kou1。
JGYL-G022,痉湿暍病脉证并治第二,数下之,数,shuo4 xia4 zhi1,shuo4,gold,semantic_polyphone,high_for_engineering_benchmark,1,数下之，则淋甚。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,“数”作屡次义读 shuo4。
JGYL-G023,百合狐惑阴阳毒病脉证治第三,其脉微数,数,qi2 mai4 wei1 shuo4,shuo4,gold,medical_polyphone,high_for_engineering_benchmark,1,意欲食复不能食，常默默，欲卧不能卧，欲行不能行，饮食或有美时，或有不用闻食臭时，如寒无寒，如热无热，口苦，小便赤，诸药不能治，得药则剧吐利，如有神灵者，身形如和，其脉微数。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,脉象数读 shuo4。
JGYL-G024,百合狐惑阴阳毒病脉证治第三,淅然,淅,xi1 ran2,xi1,gold,rare_or_classical,high_for_engineering_benchmark,1,若溺时头不痛，淅然者，四十日愈；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,淅读 xi1。
JGYL-G025,百合狐惑阴阳毒病脉证治第三,头眩,眩,tou2 xuan4,xuan4,gold,medical_term,high_for_engineering_benchmark,1,若溺快然，但头眩者，二十日愈。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,眩读 xuan4。
JGYL-G026,百合狐惑阴阳毒病脉证治第三,滑石代赭汤,赭,hua2 shi2 dai4 zhe3 tang1,zhe3,gold,medical_term,high_for_engineering_benchmark,1,百合病，下之后者，滑石代赭汤主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,赭读 zhe3。
JGYL-G027,百合狐惑阴阳毒病脉证治第三,栝蒌牡蛎散,栝蒌,gua1 lou2 mu3 li4 san3,gua1 lou2,gold,medical_term,high_for_engineering_benchmark,1,百合病渴不差者，栝蒌牡蛎散主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://zdic.net/hans/%E6%A0%9D%E8%92%8C,栝蒌读 gua1 lou2。
JGYL-G028,百合狐惑阴阳毒病脉证治第三,狐惑,狐惑,hu2 huo4,hu2 huo4,gold,medical_term,high_for_engineering_benchmark,1,狐惑之为病，状如伤寒，默默欲眠，目不得闭，卧起不安。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,病名。
JGYL-G029,百合狐惑阴阳毒病脉证治第三,蚀于喉,蚀,shi2 yu2 hou2,shi2,gold,medical_term,high_for_engineering_benchmark,1,蚀于喉为惑，蚀于阴为狐。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,蚀读 shi2。
JGYL-G030,百合狐惑阴阳毒病脉证治第三,声喝,喝,,,review_required,pronunciation_dispute,review,1,蚀于上部则声喝，甘草泻心汤主之；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,“喝”在该古籍病证语境的朗读需按权威校注固定，暂不硬判。
JGYL-G031,百合狐惑阴阳毒病脉证治第三,目四眦黑,眦,mu4 si4 zi4 hei1,zi4,gold,rare_or_classical,high_for_engineering_benchmark,1,七八日，目四眦黑。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,眦读 zi4。
JGYL-G032,百合狐惑阴阳毒病脉证治第三,脓已成,脓,nong2 yi3 cheng2,nong2,gold,medical_term,high_for_engineering_benchmark,1,若能食者，脓已成也，赤小豆当归散主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,脓读 nong2。
JGYL-G033,百合狐惑阴阳毒病脉证治第三,鳖甲汤,鳖,bie1 jia3 tang1,bie1,gold,medical_term,high_for_engineering_benchmark,2,阴阳毒，阳毒之为病，面赤斑斑如锦纹，咽喉痛，唾脓血，五日可治，七日不可治，升麻鳖甲汤主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,鳖读 bie1。
JGYL-G034,疟病脉证并治第四,疟脉,疟,nve4 mai4,nve4,gold,medical_term,high_for_engineering_benchmark,1,师曰：疟脉自弦，弦数者多热，弦迟者多寒。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,疟读 nve4。
JGYL-G035,疟病脉证并治第四,弦数者,数,xian2 shuo4 zhe3,shuo4,gold,medical_polyphone,high_for_engineering_benchmark,2,师曰：疟脉自弦，弦数者多热，弦迟者多寒。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,脉象数读 shuo4。
JGYL-G036,疟病脉证并治第四,不差,差,bu4 chai4,chai4,gold,classical_usage,high_for_engineering_benchmark,2,设不差，当月尽解。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://www.zdic.net/hans/%E5%B7%AE,“差”作病愈义读 chai4。
JGYL-G037,疟病脉证并治第四,癥瘕,癥瘕,zheng1 jia3,zheng1 jia3,gold,medical_term,high_for_engineering_benchmark,1,师曰：此结为癥瘕，名曰疟母，急治之，宜鳖甲煎丸。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://www.zdic.net/hans/%E7%99%A5%E7%98%95,癥瘕读 zheng1 jia3。
JGYL-G038,疟病脉证并治第四,疟母,疟,nve4 mu3,nve4,gold,medical_term,high_for_engineering_benchmark,1,师曰：此结为癥瘕，名曰疟母，急治之，宜鳖甲煎丸。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,病名。
JGYL-G039,疟病脉证并治第四,瘅疟,瘅疟,,,review_required,pronunciation_dispute,review,1,师曰：阴气孤绝，阳气独发，则热而少气烦冤，手足热而欲呕，名曰瘅疟。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://www.zdic.net/hans/%E7%98%85%E7%96%9F,现代资料存在 dàn/dān 标注不一致；建议项目确定权威来源后再硬判。
JGYL-G040,疟病脉证并治第四,消铄,铄,xiao1 shuo4,shuo4,gold,rare_or_classical,high_for_engineering_benchmark,1,若但热不寒者，邪气内藏于心，外舍分肉之间，令人消铄脱肉。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,铄读 shuo4。
JGYL-G041,疟病脉证并治第四,牡疟,疟,mu3 nve4,nve4,gold,medical_term,high_for_engineering_benchmark,1,疟多寒者，名曰牡疟，蜀漆散主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,病名。
JGYL-G042,疟病脉证并治第四,蜀漆散,漆,shu3 qi1 san3,qi1,gold,medical_term,high_for_engineering_benchmark,1,疟多寒者，名曰牡疟，蜀漆散主之。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,方名。
JGYL-G043,中风历节病脉证并治第五,中风,中,zhong4 feng1,zhong4,gold,medical_polyphone,high_for_engineering_benchmark,2,脉微而数，中风使然。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,病名中风，中读 zhong4。
JGYL-G044,中风历节病脉证并治第五,痹,痹,bi4,bi4,gold,medical_term,high_for_engineering_benchmark,1,夫风之为病，当半身不遂，或但臂不遂者，此为痹。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,痹读 bi4。
JGYL-G045,中风历节病脉证并治第五,脉微而数,数,mai4 wei1 er2 shuo4,shuo4,gold,medical_polyphone,high_for_engineering_benchmark,1,脉微而数，中风使然。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,脉象数读 shuo4。
JGYL-G046,中风历节病脉证并治第五,㖞僻不遂,㖞,wai1 pi4 bu4 sui4,wai1,gold,rare_character,high_for_engineering_benchmark,1,邪气反缓，正气即急，正气引邪，㖞僻不遂。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://www.zdic.net/hans/%E3%96%9E,㖞（喎）读 wai1；僻读 pi4。
JGYL-G047,中风历节病脉证并治第五,不仁,仁,bu4 ren2,ren2,gold,medical_term,high_for_engineering_benchmark,1,邪在于络，肌肤不仁；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,病证用语。
JGYL-G048,中风历节病脉证并治第五,瘾疹,瘾疹,yin3 zhen3,yin3 zhen3,gold,medical_term,high_for_engineering_benchmark,1,邪气中经，则身痒而瘾疹；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://zdic.net/hans/%E7%98%BE%E7%96%B9,瘾疹读 yin3 zhen3。
